subscription_id,customer_id,product,plan_type,start_quarter,renewal_quarter,arr,status
SUB_022,CUST_015,MetricHub,Professional,Q1_2025,Q1_2026,35486.11,Active
SUB_023,CUST_016,InsightOS,Standard,Q3_2025,Q1_2026,10868.84,Active
SUB_024,CUST_017,FlowOps,Standard,Q4_2025,Q1_2026,12652.17,Active
SUB_025,CUST_018,InsightOS,Standard,Q4_2025,Q1_2026,10713.49,Active
SUB_026,CUST_019,InsightOS,Professional,Q3_2025,Q1_2026,32813.19,Active
SUB_027,CUST_020,MetricHub,Professional,Q4_2025,Q1_2026,39742.62,Active
SUB_028,CUST_021,InsightOS,Professional,Q4_2025,Q1_2026,32041.37,Active
SUB_029,CUST_022,InsightOS,Professional,Q3_2025,Q1_2026,37764.68,Active
SUB_030,CUST_023,FlowOps,Standard,Q1_2025,Q1_2026,11079.28,Active
SUB_031,CUST_024,MetricHub,Standard,Q2_2025,Q1_2026,12545.96,Active
SUB_032,CUST_025,InsightOS,Standard,Q4_2025,Q1_2026,12781.66,Active
SUB_033,CUST_026,InsightOS,Professional,Q1_2025,Q1_2026,33098.42,Active
SUB_034,CUST_026,FlowOps,Professional,Q1_2025,Q1_2026,39251.31,Active
SUB_035,CUST_027,InsightOS,Standard,Q4_2025,Q4_2025,11493.85,Cancelled
SUB_036,CUST_028,MetricHub,Premium Enterprise,Q1_2025,Q1_2026,117075.73,Active
SUB_037,CUST_029,InsightOS,Standard,Q1_2025,Q4_2025,10250.17,Cancelled
SUB_038,CUST_030,MetricHub,Standard,Q2_2025,Q1_2026,12934.46,Active
SUB_039,CUST_031,FlowOps,Standard,Q1_2025,Q1_2026,10693.92,Active
SUB_040,CUST_032,MetricHub,Professional,Q4_2025,Q1_2026,37859.11,Active
SUB_041,CUST_033,MetricHub,Professional,Q4_2025,Q1_2026,36718.72,Active
SUB_042,CUST_033,InsightOS,Professional,Q4_2025,Q1_2026,36877.69,Active
SUB_043,CUST_034,FlowOps,Standard,Q4_2025,Q1_2026,11448.94,Active
SUB_044,CUST_035,FlowOps,Standard,Q3_2025,Q1_2026,10104.79,Active
SUB_045,CUST_036,InsightOS,Professional,Q1_2025,Q1_2026,33730.71,Active
SUB_046,CUST_037,MetricHub,Standard,Q2_2025,Q1_2026,11194.9,Active
SUB_047,CUST_038,FlowOps,Professional,Q3_2025,Q1_2026,35296.57,Active
SUB_048,CUST_038,InsightOS,Professional,Q3_2025,Q1_2026,39727.3,Active
SUB_049,CUST_039,FlowOps,Professional,Q2_2025,Q1_2026,39026.43,Active
SUB_050,CUST_039,MetricHub,Professional,Q2_2025,Q1_2026,35581.87,Active
SUB_051,CUST_040,FlowOps,Standard,Q1_2025,Q1_2026,10533.92,Active
SUB_052,CUST_041,FlowOps,Standard,Q2_2025,Q4_2025,13615.65,Cancelled
SUB_053,CUST_042,FlowOps,Premium Enterprise,Q2_2025,Q1_2026,114767.25,Active
SUB_054,CUST_042,InsightOS,Premium Enterprise,Q2_2025,Q1_2026,128306.75,Active
SUB_055,CUST_043,MetricHub,Standard,Q4_2025,Q1_2026,13690.49,Active
SUB_056,CUST_044,FlowOps,Standard,Q4_2025,Q1_2026,10053.61,Active
SUB_057,CUST_045,InsightOS,Professional,Q2_2025,Q1_2026,31362.88,Active
SUB_058,CUST_046,InsightOS,Premium Enterprise,Q3_2025,Q1_2026,133613.8,Active
SUB_059,CUST_047,FlowOps,Premium Enterprise,Q3_2025,Q1_2026,123492.2,Active
SUB_060,CUST_047,InsightOS,Premium Enterprise,Q3_2025,Q1_2026,133301.32,Active
SUB_061,CUST_047,MetricHub,Premium Enterprise,Q3_2025,Q1_2026,111960.98,Active
SUB_062,CUST_048,InsightOS,Professional,Q1_2025,Q1_2026,37196.99,Active
SUB_063,CUST_049,MetricHub,Standard,Q4_2025,Q1_2026,11383.68,Active
SUB_064,CUST_050,FlowOps,Standard,Q4_2025,Q1_2026,13087.43,Active
SUB_065,CUST_051,InsightOS,Professional,Q2_2025,Q1_2026,38324.49,Active
SUB_066,CUST_052,InsightOS,Professional,Q2_2025,Q1_2026,40368.22,Active
SUB_067,CUST_053,InsightOS,Standard,Q1_2025,Q1_2026,11675.17,Active
SUB_068,CUST_054,MetricHub,Premium Enterprise,Q2_2025,Q1_2026,139438.91,Active
SUB_069,CUST_055,FlowOps,Standard,Q1_2025,Q2_2025,12616.7,Cancelled
SUB_070,CUST_056,MetricHub,Standard,Q4_2025,Q1_2026,11234.79,Active
SUB_071,CUST_057,FlowOps,Standard,Q1_2025,Q2_2025,13869.42,Cancelled
SUB_072,CUST_058,FlowOps,Standard,Q2_2025,Q4_2025,12880.03,Cancelled
SUB_073,CUST_059,MetricHub,Standard,Q4_2025,Q1_2026,12735.02,Active
SUB_074,CUST_060,MetricHub,Standard,Q3_2025,Q1_2026,13922.07,Active
SUB_075,CUST_061,FlowOps,Standard,Q1_2025,Q1_2026,11615.91,Active
SUB_076,CUST_062,InsightOS,Professional,Q1_2025,Q1_2026,36488.39,Active
SUB_077,CUST_063,InsightOS,Professional,Q1_2025,Q1_2026,39469.19,Active
SUB_078,CUST_064,FlowOps,Professional,Q3_2025,Q1_2026,37641.88,Active
SUB_079,CUST_065,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,135859.61,Active
SUB_080,CUST_066,MetricHub,Standard,Q2_2025,Q1_2026,12997.13,Active
SUB_081,CUST_067,InsightOS,Standard,Q4_2025,Q1_2026,10447.74,Active
SUB_082,CUST_068,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,133819.69,Active
SUB_083,CUST_068,MetricHub,Premium Enterprise,Q1_2025,Q1_2026,124917.68,Active
SUB_084,CUST_069,MetricHub,Standard,Q4_2025,Q1_2026,10658.83,Active
SUB_085,CUST_070,InsightOS,Premium Enterprise,Q4_2025,Q1_2026,125581.58,Active
SUB_086,CUST_070,FlowOps,Premium Enterprise,Q4_2025,Q1_2026,116146.44,Active
SUB_087,CUST_071,MetricHub,Standard,Q1_2025,Q4_2025,13518.33,Cancelled
SUB_088,CUST_072,FlowOps,Premium Enterprise,Q4_2025,Q1_2026,139549.69,Active
SUB_089,CUST_073,FlowOps,Standard,Q2_2025,Q1_2026,10108.67,Active
SUB_090,CUST_074,FlowOps,Premium Enterprise,Q4_2025,Q1_2026,137276.61,Active
SUB_091,CUST_075,InsightOS,Professional,Q3_2025,Q1_2026,34719.33,Active
SUB_092,CUST_076,InsightOS,Premium Enterprise,Q3_2025,Q1_2026,112802.24,Active
SUB_093,CUST_076,MetricHub,Premium Enterprise,Q3_2025,Q1_2026,123232.16,Active
SUB_094,CUST_077,InsightOS,Standard,Q2_2025,Q3_2025,10746.89,Cancelled
SUB_095,CUST_078,FlowOps,Professional,Q4_2025,Q1_2026,33764.42,Active
SUB_096,CUST_079,MetricHub,Premium Enterprise,Q3_2025,Q1_2026,115875.22,Active
SUB_097,CUST_079,FlowOps,Premium Enterprise,Q3_2025,Q1_2026,136908.74,Active
SUB_098,CUST_080,InsightOS,Professional,Q2_2025,Q1_2026,32660.34,Active
SUB_099,CUST_081,MetricHub,Professional,Q4_2025,Q1_2026,39971.86,Active
SUB_100,CUST_082,FlowOps,Professional,Q1_2025,Q1_2026,36981.13,Active
SUB_101,CUST_083,InsightOS,Standard,Q1_2025,Q1_2026,11454.77,Active
SUB_102,CUST_084,MetricHub,Professional,Q1_2025,Q1_2026,35403.23,Active
SUB_103,CUST_084,InsightOS,Professional,Q1_2025,Q1_2026,37152.98,Active
SUB_104,CUST_085,FlowOps,Professional,Q2_2025,Q3_2025,38397.3,Cancelled
SUB_105,CUST_086,MetricHub,Premium Enterprise,Q1_2025,Q1_2026,113673.02,Active
SUB_106,CUST_086,FlowOps,Premium Enterprise,Q1_2025,Q1_2026,131755.57,Active
SUB_107,CUST_086,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,119690.34,Active
SUB_108,CUST_087,InsightOS,Standard,Q4_2025,Q1_2026,11709.96,Active
SUB_109,CUST_088,InsightOS,Standard,Q1_2025,Q1_2026,10050.43,Active
SUB_110,CUST_089,FlowOps,Premium Enterprise,Q3_2025,Q1_2026,131580.61,Active
SUB_111,CUST_089,MetricHub,Premium Enterprise,Q3_2025,Q1_2026,136707.74,Active
SUB_112,CUST_090,MetricHub,Premium Enterprise,Q1_2025,Q1_2026,115622.36,Active
SUB_113,CUST_091,MetricHub,Standard,Q4_2025,Q4_2025,13276.25,Cancelled
SUB_114,CUST_092,InsightOS,Professional,Q4_2025,Q1_2026,34143.5,Active
SUB_115,CUST_093,InsightOS,Standard,Q2_2025,Q1_2026,13286.55,Active
SUB_116,CUST_094,MetricHub,Standard,Q4_2025,Q1_2026,11017.29,Active
SUB_117,CUST_095,FlowOps,Standard,Q1_2025,Q1_2026,13519.29,Active
SUB_118,CUST_096,InsightOS,Standard,Q4_2025,Q1_2026,10977.36,Active
SUB_119,CUST_097,InsightOS,Professional,Q1_2025,Q1_2026,38190.77,Active
SUB_120,CUST_098,InsightOS,Standard,Q4_2025,Q1_2026,13621.44,Active
SUB_121,CUST_099,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,128413.32,Active
SUB_122,CUST_099,FlowOps,Premium Enterprise,Q1_2025,Q1_2026,123065.16,Active
SUB_123,CUST_100,MetricHub,Premium Enterprise,Q3_2025,Q1_2026,134185.88,Active
SUB_124,CUST_100,FlowOps,Premium Enterprise,Q3_2025,Q1_2026,135312.12,Active
SUB_125,CUST_101,FlowOps,Professional,Q3_2025,Q1_2026,38392.95,Active
SUB_126,CUST_102,InsightOS,Professional,Q1_2025,Q1_2026,31038.17,Active
SUB_127,CUST_103,MetricHub,Standard,Q1_2025,Q4_2025,10668.53,Cancelled
SUB_128,CUST_104,MetricHub,Professional,Q1_2025,Q1_2026,31770.78,Active
SUB_129,CUST_104,InsightOS,Professional,Q1_2025,Q1_2026,34403.8,Active
SUB_130,CUST_105,InsightOS,Professional,Q2_2025,Q1_2026,34603.78,Active
SUB_131,CUST_105,MetricHub,Professional,Q2_2025,Q1_2026,31685.05,Active
SUB_132,CUST_106,MetricHub,Standard,Q3_2025,Q4_2025,11633.23,Cancelled
SUB_133,CUST_107,MetricHub,Premium Enterprise,Q1_2025,Q1_2026,134221.88,Active
SUB_134,CUST_107,FlowOps,Premium Enterprise,Q1_2025,Q1_2026,111772.82,Active
SUB_135,CUST_108,MetricHub,Professional,Q2_2025,Q1_2026,39742.27,Active
SUB_136,CUST_108,InsightOS,Professional,Q2_2025,Q1_2026,31001.88,Active
SUB_137,CUST_109,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,121385.09,Active
SUB_138,CUST_110,FlowOps,Professional,Q4_2025,Q1_2026,32288.49,Active
SUB_139,CUST_111,InsightOS,Professional,Q1_2025,Q1_2026,35790.7,Active
SUB_140,CUST_112,MetricHub,Standard,Q1_2025,Q2_2025,11685.78,Cancelled
SUB_141,CUST_113,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,131230.65,Active
SUB_142,CUST_113,FlowOps,Premium Enterprise,Q1_2025,Q1_2026,139183.29,Active
SUB_143,CUST_113,MetricHub,Premium Enterprise,Q1_2025,Q1_2026,134781.17,Active
SUB_144,CUST_114,MetricHub,Premium Enterprise,Q2_2025,Q1_2026,128640.33,Active
SUB_145,CUST_114,FlowOps,Premium Enterprise,Q2_2025,Q1_2026,126775.54,Active
SUB_146,CUST_115,MetricHub,Standard,Q4_2025,Q1_2026,11126.08,Active
SUB_147,CUST_116,InsightOS,Standard,Q2_2025,Q1_2026,10450.32,Active
SUB_148,CUST_117,FlowOps,Standard,Q1_2025,Q2_2025,12162.79,Cancelled
SUB_149,CUST_118,FlowOps,Professional,Q3_2025,Q1_2026,33838.28,Active
SUB_150,CUST_119,MetricHub,Premium Enterprise,Q3_2025,Q1_2026,116790.54,Active
SUB_151,CUST_119,FlowOps,Premium Enterprise,Q3_2025,Q1_2026,131907.38,Active
SUB_152,CUST_119,InsightOS,Premium Enterprise,Q3_2025,Q1_2026,127964.25,Active
SUB_153,CUST_120,InsightOS,Standard,Q1_2025,Q1_2026,13508.96,Active
SUB_154,CUST_121,FlowOps,Professional,Q3_2025,Q1_2026,34404.06,Active
SUB_155,CUST_121,MetricHub,Professional,Q3_2025,Q1_2026,40890.28,Active
SUB_156,CUST_122,MetricHub,Standard,Q4_2025,Q1_2026,12125.27,Active
SUB_157,CUST_123,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,127484.21,Active
SUB_158,CUST_123,FlowOps,Premium Enterprise,Q1_2025,Q1_2026,139863.13,Active
SUB_159,CUST_123,MetricHub,Premium Enterprise,Q1_2025,Q1_2026,135670.88,Active
SUB_160,CUST_124,FlowOps,Professional,Q3_2025,Q1_2026,39313.74,Active
SUB_161,CUST_125,MetricHub,Professional,Q3_2025,Q4_2025,31938.57,Cancelled
SUB_162,CUST_126,MetricHub,Standard,Q2_2025,Q1_2026,12676.8,Active
SUB_163,CUST_127,FlowOps,Standard,Q1_2025,Q1_2026,13515.92,Active
SUB_164,CUST_128,FlowOps,Standard,Q1_2025,Q1_2026,12069.79,Active
SUB_165,CUST_129,InsightOS,Standard,Q4_2025,Q1_2026,11267.79,Active
SUB_166,CUST_130,MetricHub,Premium Enterprise,Q4_2025,Q1_2026,128057.7,Active
SUB_167,CUST_130,InsightOS,Premium Enterprise,Q4_2025,Q1_2026,136775.7,Active
SUB_168,CUST_131,MetricHub,Professional,Q3_2025,Q1_2026,35452.46,Active
SUB_169,CUST_132,InsightOS,Premium Enterprise,Q2_2025,Q3_2025,130292.79,Cancelled
SUB_170,CUST_132,MetricHub,Premium Enterprise,Q2_2025,Q4_2025,117025.53,Cancelled
SUB_171,CUST_133,InsightOS,Premium Enterprise,Q3_2025,Q1_2026,128019.53,Active
SUB_172,CUST_133,FlowOps,Premium Enterprise,Q3_2025,Q1_2026,132307.82,Active
SUB_173,CUST_133,MetricHub,Premium Enterprise,Q3_2025,Q1_2026,125187.98,Active
SUB_174,CUST_134,InsightOS,Professional,Q3_2025,Q1_2026,33543.92,Active
SUB_175,CUST_135,InsightOS,Professional,Q2_2025,Q1_2026,40073.8,Active
SUB_176,CUST_136,FlowOps,Premium Enterprise,Q1_2025,Q1_2026,123513.96,Active
SUB_177,CUST_137,InsightOS,Professional,Q4_2025,Q1_2026,35697.44,Active
SUB_178,CUST_138,FlowOps,Standard,Q2_2025,Q1_2026,10827.97,Active
SUB_179,CUST_139,MetricHub,Standard,Q4_2025,Q1_2026,10022.02,Active
SUB_180,CUST_140,FlowOps,Standard,Q1_2025,Q1_2026,10876.28,Active
SUB_181,CUST_141,FlowOps,Premium Enterprise,Q1_2025,Q1_2026,123885.56,Active
SUB_182,CUST_142,InsightOS,Professional,Q1_2025,Q1_2026,33934.89,Active
SUB_183,CUST_143,FlowOps,Standard,Q2_2025,Q1_2026,11588.06,Active
SUB_184,CUST_144,MetricHub,Professional,Q4_2025,Q1_2026,32138.38,Active
SUB_185,CUST_145,MetricHub,Professional,Q1_2025,Q1_2026,39742.23,Active
SUB_186,CUST_146,FlowOps,Standard,Q4_2025,Q1_2026,12809.04,Active
SUB_187,CUST_147,MetricHub,Standard,Q2_2025,Q3_2025,10525.96,Cancelled
SUB_188,CUST_148,InsightOS,Professional,Q4_2025,Q1_2026,39822.59,Active
SUB_189,CUST_149,FlowOps,Professional,Q1_2025,Q1_2026,37746.08,Active
SUB_190,CUST_150,FlowOps,Professional,Q4_2025,Q1_2026,40540.33,Active
SUB_191,CUST_151,MetricHub,Professional,Q3_2025,Q1_2026,31021.04,Active
SUB_192,CUST_151,FlowOps,Professional,Q3_2025,Q1_2026,38175.72,Active
SUB_193,CUST_152,MetricHub,Premium Enterprise,Q1_2025,Q1_2026,136147.93,Active
SUB_194,CUST_152,FlowOps,Premium Enterprise,Q1_2025,Q1_2026,117700.83,Active
SUB_195,CUST_152,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,129958.76,Active
SUB_196,CUST_153,FlowOps,Professional,Q1_2025,Q1_2026,32210.25,Active
SUB_197,CUST_153,InsightOS,Professional,Q1_2025,Q1_2026,35189.48,Active
SUB_198,CUST_154,FlowOps,Professional,Q4_2025,Q1_2026,31801.8,Active
SUB_199,CUST_154,MetricHub,Professional,Q4_2025,Q1_2026,34547.71,Active
SUB_200,CUST_155,MetricHub,Premium Enterprise,Q4_2025,Q1_2026,130360.1,Active
SUB_201,CUST_155,InsightOS,Premium Enterprise,Q4_2025,Q1_2026,120857.6,Active
SUB_202,CUST_155,FlowOps,Premium Enterprise,Q4_2025,Q1_2026,127809.82,Active
SUB_203,CUST_156,InsightOS,Standard,Q1_2025,Q1_2026,12544.38,Active
SUB_204,CUST_157,FlowOps,Standard,Q3_2025,Q4_2025,12450.29,Cancelled
SUB_205,CUST_158,InsightOS,Standard,Q4_2025,Q1_2026,12551.51,Active
SUB_206,CUST_159,FlowOps,Professional,Q4_2025,Q1_2026,39290.18,Active
SUB_207,CUST_159,MetricHub,Professional,Q4_2025,Q1_2026,40912.63,Active
SUB_208,CUST_160,FlowOps,Professional,Q4_2025,Q1_2026,36324.93,Active
SUB_209,CUST_160,MetricHub,Professional,Q4_2025,Q1_2026,35488.53,Active
SUB_210,CUST_161,InsightOS,Professional,Q3_2025,Q1_2026,40101.35,Active
SUB_211,CUST_162,FlowOps,Standard,Q2_2025,Q1_2026,10864.21,Active
SUB_212,CUST_163,MetricHub,Standard,Q2_2025,Q1_2026,13266.89,Active
SUB_213,CUST_164,InsightOS,Standard,Q2_2025,Q1_2026,11549.57,Active
SUB_214,CUST_165,InsightOS,Standard,Q3_2025,Q4_2025,11615.59,Cancelled
SUB_215,CUST_166,MetricHub,Professional,Q3_2025,Q1_2026,39617.42,Active
SUB_216,CUST_167,InsightOS,Standard,Q1_2025,Q1_2026,10905.12,Active
SUB_217,CUST_168,MetricHub,Standard,Q4_2025,Q1_2026,13430.25,Active
SUB_218,CUST_169,MetricHub,Premium Enterprise,Q3_2025,Q1_2026,119566.0,Active
SUB_219,CUST_169,InsightOS,Premium Enterprise,Q3_2025,Q1_2026,127465.96,Active
SUB_220,CUST_169,FlowOps,Premium Enterprise,Q3_2025,Q1_2026,121135.17,Active
SUB_221,CUST_170,FlowOps,Standard,Q3_2025,Q4_2025,12822.34,Cancelled
SUB_222,CUST_171,InsightOS,Professional,Q2_2025,Q1_2026,32668.6,Active
SUB_223,CUST_172,FlowOps,Professional,Q2_2025,Q4_2025,38619.07,Cancelled
SUB_224,CUST_173,MetricHub,Standard,Q1_2025,Q1_2026,12068.96,Active
SUB_225,CUST_174,MetricHub,Professional,Q1_2025,Q1_2026,34858.75,Active
SUB_226,CUST_175,MetricHub,Premium Enterprise,Q1_2025,Q1_2026,113037.8,Active
SUB_227,CUST_175,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,135414.18,Active
SUB_228,CUST_176,FlowOps,Premium Enterprise,Q1_2025,Q1_2026,113157.78,Active
SUB_229,CUST_176,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,115020.79,Active
SUB_230,CUST_177,FlowOps,Standard,Q2_2025,Q4_2025,10913.95,Cancelled
SUB_231,CUST_178,FlowOps,Premium Enterprise,Q2_2025,Q1_2026,112979.07,Active
SUB_232,CUST_178,MetricHub,Premium Enterprise,Q2_2025,Q1_2026,116265.92,Active
SUB_233,CUST_179,InsightOS,Standard,Q1_2025,Q1_2026,11656.6,Active
SUB_234,CUST_180,InsightOS,Standard,Q3_2025,Q1_2026,11252.83,Active
SUB_235,CUST_181,MetricHub,Standard,Q1_2025,Q1_2026,11951.4,Active
SUB_236,CUST_182,FlowOps,Premium Enterprise,Q4_2025,Q1_2026,121111.91,Active
SUB_237,CUST_183,MetricHub,Standard,Q4_2025,Q4_2025,13553.61,Cancelled
SUB_238,CUST_184,InsightOS,Standard,Q1_2025,Q2_2025,12181.52,Cancelled
SUB_239,CUST_185,InsightOS,Professional,Q2_2025,Q1_2026,31309.38,Active
SUB_240,CUST_186,InsightOS,Standard,Q1_2025,Q3_2025,13920.44,Cancelled
SUB_241,CUST_187,FlowOps,Standard,Q3_2025,Q1_2026,10673.35,Active
SUB_242,CUST_188,MetricHub,Standard,Q3_2025,Q1_2026,13354.2,Active
SUB_243,CUST_189,InsightOS,Standard,Q1_2025,Q1_2026,13307.26,Active
SUB_244,CUST_190,MetricHub,Standard,Q3_2025,Q4_2025,10708.68,Cancelled
SUB_245,CUST_191,FlowOps,Standard,Q1_2025,Q1_2026,12709.55,Active
SUB_246,CUST_192,MetricHub,Professional,Q1_2025,Q1_2026,36448.28,Active
SUB_247,CUST_193,FlowOps,Standard,Q3_2025,Q1_2026,12331.94,Active
SUB_248,CUST_194,MetricHub,Standard,Q2_2025,Q1_2026,10602.09,Active
SUB_249,CUST_195,MetricHub,Premium Enterprise,Q3_2025,Q1_2026,139815.45,Active
SUB_250,CUST_195,InsightOS,Premium Enterprise,Q3_2025,Q1_2026,136409.44,Active
SUB_251,CUST_195,FlowOps,Premium Enterprise,Q3_2025,Q1_2026,128702.18,Active
SUB_252,CUST_196,FlowOps,Standard,Q2_2025,Q3_2025,12482.64,Cancelled
SUB_253,CUST_197,MetricHub,Professional,Q4_2025,Q1_2026,38108.85,Active
SUB_254,CUST_198,FlowOps,Standard,Q1_2025,Q1_2026,10529.49,Active
SUB_255,CUST_199,MetricHub,Standard,Q2_2025,Q1_2026,12396.48,Active
SUB_256,CUST_200,FlowOps,Standard,Q3_2025,Q1_2026,11833.87,Active
SUB_257,CUST_201,FlowOps,Standard,Q2_2025,Q1_2026,12983.44,Active
SUB_258,CUST_202,InsightOS,Standard,Q4_2025,Q1_2026,10230.96,Active
SUB_259,CUST_203,FlowOps,Standard,Q3_2025,Q1_2026,10137.85,Active
SUB_260,CUST_204,FlowOps,Standard,Q3_2025,Q1_2026,13796.45,Active
SUB_261,CUST_205,InsightOS,Standard,Q3_2025,Q1_2026,10374.69,Active
SUB_262,CUST_206,FlowOps,Standard,Q4_2025,Q1_2026,11209.79,Active
SUB_263,CUST_207,FlowOps,Standard,Q4_2025,Q1_2026,10812.89,Active
SUB_264,CUST_208,MetricHub,Standard,Q3_2025,Q4_2025,12423.02,Cancelled
SUB_265,CUST_209,InsightOS,Professional,Q3_2025,Q1_2026,38257.16,Active
SUB_266,CUST_209,MetricHub,Professional,Q3_2025,Q1_2026,39944.53,Active
SUB_267,CUST_210,MetricHub,Professional,Q1_2025,Q1_2026,38645.28,Active
SUB_268,CUST_211,MetricHub,Standard,Q1_2025,Q1_2026,11905.93,Active
SUB_269,CUST_212,MetricHub,Professional,Q3_2025,Q4_2025,37401.98,Cancelled
SUB_270,CUST_212,FlowOps,Professional,Q3_2025,Q4_2025,33984.35,Cancelled
SUB_271,CUST_213,InsightOS,Professional,Q1_2025,Q1_2026,33560.48,Active
SUB_272,CUST_214,MetricHub,Standard,Q2_2025,Q3_2025,13886.13,Cancelled
SUB_273,CUST_215,InsightOS,Premium Enterprise,Q1_2025,Q1_2026,137877.72,Active
SUB_274,CUST_215,FlowOps,Premium Enterprise,Q1_2025,Q1_2026,110916.48,Active
SUB_275,CUST_216,InsightOS,Premium Enterprise,Q2_2025,Q1_2026,128976.32,Active
SUB_276,CUST_216,FlowOps,Premium Enterprise,Q2_2025,Q1_2026,129334.11,Active
SUB_277,CUST_216,MetricHub,Premium Enterprise,Q2_2025,Q1_2026,134593.93,Active
SUB_278,CUST_217,FlowOps,Standard,Q3_2025,Q1_2026,12932.2,Active
SUB_279,CUST_218,FlowOps,Standard,Q4_2025,Q1_2026,13173.58,Active
SUB_280,CUST_219,InsightOS,Professional,Q1_2025,Q1_2026,40946.49,Active
SUB_281,CUST_219,FlowOps,Professional,Q1_2025,Q1_2026,31898.12,Active
SUB_282,CUST_220,MetricHub,Professional,Q2_2025,Q1_2026,34417.82,Active
SUB_283,CUST_221,MetricHub,Standard,Q4_2025,Q1_2026,10276.12,Active
SUB_284,CUST_222,FlowOps,Standard,Q1_2025,Q4_2025,13748.36,Cancelled
SUB_285,CUST_223,MetricHub,Standard,Q4_2025,Q1_2026,13537.7,Active
SUB_286,CUST_224,InsightOS,Standard,Q2_2025,Q1_2026,10417.62,Active
SUB_287,CUST_225,InsightOS,Professional,Q2_2025,Q1_2026,33803.34,Active
SUB_288,CUST_226,FlowOps,Standard,Q4_2025,Q1_2026,10264.04,Active
SUB_289,CUST_227,InsightOS,Standard,Q1_2025,Q1_2026,10443.99,Active
SUB_290,CUST_228,FlowOps,Professional,Q3_2025,Q1_2026,31723.16,Active
SUB_291,CUST_228,MetricHub,Professional,Q3_2025,Q1_2026,40551.15,Active
SUB_292,CUST_229,InsightOS,Standard,Q4_2025,Q4_2025,11198.26,Cancelled
SUB_293,CUST_230,MetricHub,Standard,Q1_2025,Q1_2026,13368.3,Active
SUB_294,CUST_231,InsightOS,Professional,Q3_2025,Q1_2026,32451.97,Active
SUB_295,CUST_232,MetricHub,Premium Enterprise,Q4_2025,Q1_2026,116971.53,Active
SUB_296,CUST_232,InsightOS,Premium Enterprise,Q4_2025,Q1_2026,118430.13,Active
SUB_297,CUST_233,InsightOS,Professional,Q1_2025,Q1_2026,35051.03,Active
SUB_298,CUST_233,FlowOps,Professional,Q1_2025,Q1_2026,40061.11,Active
SUB_299,CUST_234,MetricHub,Professional,Q4_2025,Q1_2026,33260.29,Active
SUB_300,CUST_235,FlowOps,Standard,Q3_2025,Q4_2025,13915.92,Cancelled
SUB_301,CUST_236,MetricHub,Standard,Q3_2025,Q1_2026,11431.26,Active
SUB_302,CUST_237,FlowOps,Professional,Q3_2025,Q1_2026,39886.59,Active
SUB_303,CUST_238,InsightOS,Standard,Q1_2025,Q1_2026,11797.4,Active
